"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
629,"амнезия","s",0.8,39,82,59,""
630,"амнистировать","v",1,40,80,58,""
631,"амнистия","s",8.2,86,85,293,""
632,"амок","s",0.5,15,61,16,"*"
633,"аморализм","s",0.4,25,80,27,""
634,"аморалка","s",0.4,26,81,30,""
635,"аморальность","s",0.7,32,75,43,""
636,"аморальный","a",3.3,91,92,210,""
637,"амортизатор","s",2.2,62,87,134,""
638,"амортизационный","a",1.2,39,78,67,""
639,"амортизация","s",2.8,65,83,135,""
640,"амортизировать","v",0.6,35,80,45,""
641,"аморфный","a",2.9,65,82,163,""
642,"ампер","s",2.2,21,32,25,"*"
643,"амперметр","s",0.4,14,55,18,""
644,"ампир","s",2.1,56,79,106,""
645,"ампирный","a",0.7,29,74,40,""
646,"амплитуда","s",4.6,67,76,212,""
647,"амплитудный","a",0.4,13,61,19,""
648,"амплификация","s",2.3,10,57,63,""
649,"амплифицировать","v",1,8,57,45,""
650,"амплуа","s",3.7,81,89,229,""
651,"ампула","s",3.7,75,87,146,""
652,"ампутация","s",1.2,54,85,78,""
653,"ампутировать","v",1.4,61,87,95,""
654,"амрита","s",0.5,4,31,4,""
655,"амстердамский","a",0.5,30,81,38,""
656,"амулет","s",3.7,63,72,96,""
657,"амуниция","s",1.7,71,90,122,""
658,"амур","s",3.9,82,89,211,"*"
659,"амурный","a",0.7,38,82,62,""
660,"амурский","a",2.9,61,88,171,""
661,"амфибия","s",0.7,31,81,45,""
662,"амфитеатр","s",1.8,63,87,105,""
663,"амфора","s",1.4,56,84,81,""
664,"ан","conj",8.6,95,92,415,""
665,"анабиоз","s",1.3,35,52,43,""
666,"анаболический","a",0.6,7,18,8,""
667,"анаграмма","s",0.9,16,40,17,""
668,"анадырский","a",0.4,11,39,12,""
669,"анаконда","s",0.4,24,80,28,""
670,"анализ","s",157,100,81,4197,""
671,"анализатор","s",3.1,32,66,73,""
672,"анализировать","v",20.8,99,87,1198,""
673,"анализироваться","v",3.5,54,80,247,""
674,"аналитик","s",18.1,82,88,1052,""
675,"аналитика","s",1.2,47,86,89,""
676,"аналитически","adv",0.5,23,74,35,""
677,"аналитический","a",18.1,91,85,915,""
678,"аналог","s",15.9,87,90,1085,""
679,"аналогично","adv",4.9,75,84,341,""
680,"аналогичный","a",46.7,100,89,2754,""
681,"аналогия","s",14.6,98,85,775,""
682,"аналоговый","a",1.8,41,77,96,""
683,"аналой","s",0.6,20,71,29,""
684,"анальгин","s",1.1,47,84,63,""
685,"анальный","a",2.4,47,64,62,""
686,"анамнез","s",0.7,31,76,46,""
687,"ананас","s",3.6,83,90,185,""
688,"анархизм","s",0.9,41,83,56,""
689,"анархист","s",2.7,72,88,131,""
690,"анархический","a",0.8,39,83,51,""
691,"анархия","s",2.7,79,89,171,""
692,"анатом","s",0.6,24,60,29,""
693,"анатомический","a",3.4,82,80,162,""
694,"анатомичка","s",0.4,19,74,21,""
695,"анатомия","s",4.9,93,73,216,""
696,"анафема","s",1.5,66,89,104,""
697,"анахронизм","s",1.8,68,90,126,""
698,"анаша","s",1.1,39,80,56,""
699,"анаэробный","a",0.7,18,70,27,""
700,"ангажемент","s",0.4,24,78,29,""
701,"ангажированность","s",0.7,37,84,59,""
702,"ангажированный","a",0.9,39,81,64,""
703,"ангажировать","v",0.6,37,84,48,""
704,"ангар","s",3.5,74,81,146,""
705,"ангарский","a",1.1,46,84,60,""
706,"ангел","s",32.4,99,91,972,""
707,"ангелочек","s",1,49,86,76,""
708,"ангел-хранитель","s",1.5,60,87,100,""
709,"ангельский","a",3.9,85,88,226,""
710,"ангидрит","s",0.4,7,41,8,""
711,"ангина","s",2.7,74,89,158,""
712,"английский","a",108.4,100,94,3206,""
713,"англиканский","a",0.4,21,62,32,""
714,"англичанин","s",30.1,99,84,976,""
715,"англичанка","s",2.5,66,83,126,""
716,"англо-американский","a",1.5,49,84,86,""
717,"англо-русский","a",0.4,25,79,32,""
718,"англосакс","s",0.6,34,78,45,""
719,"англосаксонский","a",1.2,42,81,70,""
720,"англоязычный","a",2.1,60,87,152,""
721,"ангольский","a",0.7,16,61,17,""
722,"андеграунд","s",2,43,70,71,""
723,"андерграунд","s",0.4,19,71,19,""
724,"андерсеновский","a",0.5,23,65,25,""
725,"андреевский","a",1.4,53,83,68,""
726,"анекдот","s",35,99,93,1209,""
727,"анекдотический","a",1.4,66,89,109,""
728,"анекдотичный","a",0.4,28,81,35,""
729,"анемичный","a",0.6,39,85,55,""
730,"анемия","s",1,37,80,56,""
731,"анестезиолог","s",1,31,72,39,""
732,"анестезия","s",1.7,56,79,84,""
733,"анизотропия","s",1.2,17,65,49,""
734,"анизотропный","a",0.5,14,67,31,""
735,"аниматор","s",0.4,13,58,15,""
736,"анимационный","a",1.4,37,71,60,""
737,"анимация","s",1.4,36,68,62,""
738,"анин","a",1,24,70,28,""
739,"анион","s",0.7,13,55,30,""
740,"анис","s",0.5,26,79,33,""
741,"аничков","a",0.4,23,78,27,""
742,"анкета","s",14.4,100,94,628,""
743,"анкетирование","s",1.1,40,81,74,""
744,"анкетный","a",2,64,81,114,""
745,"анклав","s",1.2,43,82,80,""
746,"анналы","s",1.5,56,82,85,""
747,"аннексия","s",0.5,24,74,29,""
748,"аннигиляция","s",0.5,19,53,20,""
749,"аннотация","s",1.9,65,88,131,""
750,"аннулирование","s",1.3,30,67,61,""
751,"аннулировать","v",2.1,69,88,161,""
752,"анод","s",1.2,22,72,32,""
753,"анодный","a",0.7,13,62,19,""
754,"аномалия","s",6.9,75,79,262,""
755,"аномально","adv",1,29,76,59,""
756,"аномальный","a",2.9,58,80,138,""
757,"аномия","s",0.5,9,24,10,""
758,"аноним","s",1.2,45,67,59,""
759,"анонимка","s",1.5,54,83,74,""
760,"анонимно","adv",1.5,53,70,80,""
761,"анонимность","s",1.5,57,84,107,""
762,"анонимный","a",6.3,94,92,378,""
763,"анонс","s",1.3,56,87,99,""
764,"анонсировать","v",1.4,53,87,119,""
765,"ансамблевый","a",0.4,20,76,31,""
766,"ансамбль","s",21.7,97,89,843,""
767,"антагонизм","s",1.6,62,87,105,""
768,"антагонист","s",1,43,80,72,""
769,"антагонистический","a",0.6,29,81,42,""
770,"антарктический","a",1.6,38,73,49,""
771,"антенна","s",8.5,95,92,375,""
772,"антенный","a",1.3,42,77,65,""
773,"антиалкогольный","a",0.9,43,83,60,""
774,"антиамериканизм","s",0.7,19,67,27,""
775,"антиамериканский","a",1.1,41,84,70,""
776,"антибактериальный","a",0.7,31,79,46,""
777,"антибиотик","s",4.7,83,85,216,""
778,"антивещество","s",0.7,16,51,18,""
779,"антивирусный","a",2.2,30,69,67,""
780,"антивоенный","a",1.2,39,81,72,""
781,"антиген","s",9.7,24,65,195,""
782,"антигенность","s",0.4,6,54,17,""
783,"антигенный","a",7.3,15,61,129,""
784,"антигерой","s",0.4,22,77,28,""
785,"антигитлеровский","a",0.8,33,80,42,""
786,"антиглобалист","s",1.1,33,79,63,""
787,"антигосударственный","a",0.7,39,84,52,""
788,"антидемпинговый","a",1.1,33,78,56,""
789,"антидепрессант","s",0.5,31,81,39,""
790,"антидопинговый","a",0.6,15,68,18,""
791,"антизападный","a",0.5,25,78,36,""
792,"антиимпериалистический","a",0.4,19,69,21,""
793,"антиквар","s",1.5,43,68,59,""
794,"антиквариат","s",3.2,79,88,182,""
795,"антикварный","a",5.3,85,90,292,""
796,"антикоммунизм","s",0.6,24,76,37,""
797,"антикоммунист","s",0.8,34,81,51,""
798,"антикоммунистический","a",1,37,82,64,""
799,"антиконституционный","a",0.7,26,77,47,""
800,"антикоррозийный","a",0.4,21,76,33,""
801,"антикоррозионный","a",0.5,18,71,29,""
802,"антикоррупционный","a",1,26,79,53,""
803,"антикризисный","a",1.3,40,80,74,""
804,"антикрыло","s",1.7,35,78,67,""
805,"антилопа","s",1.2,41,81,64,""
806,"антимикробный","a",0.6,17,61,23,""
807,"антимир","s",0.7,30,75,35,""
808,"антимонопольный","a",5.9,58,84,278,""
809,"антинаркотический","a",1,28,70,46,""
810,"антинародный","a",2.4,59,88,162,""
811,"антинаучный","a",0.5,29,80,34,""
812,"антинациональный","a",0.4,25,78,30,""
813,"антиномия","s",0.8,27,69,41,""
814,"антиобщественный","a",0.8,46,87,60,""
815,"антиоксидант","s",0.9,36,81,48,""
816,"антиоксидантный","a",0.5,14,62,21,""
817,"антиохийский","a",0.6,23,72,35,""
818,"антипартийный","a",1,35,75,43,""
819,"антипатия","s",2.5,78,91,181,""
820,"антипод","s",2.4,75,90,165,""
821,"антиправительственный","a",0.9,45,85,65,""
822,"антипробуксовочный","a",0.4,16,69,23,""
823,"антирабический","a",0.6,8,52,10,""
824,"антирелигиозный","a",0.8,38,83,53,""
825,"антироссийский","a",1,38,84,67,""
826,"антирусский","a",1.1,46,84,68,""
827,"антисанитария","s",0.4,25,79,29,""
828,"антисанитарный","a",0.5,33,83,41,""
829,"антисемит","s",4.7,75,85,184,""
830,"антисемитизм","s",9.2,78,86,265,""
831,"антисемитский","a",3.2,59,85,146,""
832,"антисептик","s",0.8,30,76,37,""
833,"антисептический","a",0.5,33,82,42,""
834,"антисоветский","a",8.9,84,89,281,""
835,"антисоветчик","s",1.1,55,88,80,""
836,"антисоветчина","s",0.7,37,83,48,""
837,"антисоциальный","a",0.6,32,83,46,""
838,"антисталинист","s",0.4,6,33,7,""
839,"антисталинский","a",0.7,30,80,41,""
840,"антитеза","s",1.2,45,83,79,""
841,"антитело","s",23.6,37,65,273,""
842,"антитеррор","s",0.9,31,77,54,""
843,"антитеррористический","a",6.1,60,84,330,""
844,"антиутопия","s",0.7,29,79,46,""
845,"антифашист","s",0.7,30,80,41,""
846,"антифашистский","a",2,52,84,89,""
847,"антифон","s",0.6,5,10,5,""
848,"антифриз","s",0.5,20,71,25,""
849,"антихрист","s",2.7,65,84,119,""
850,"антихристианский","a",0.5,22,71,36,""
851,"антицеллюлитный","a",0.5,13,58,15,""
852,"античастица","s",0.5,12,26,13,""
853,"античность","s",4.9,66,69,149,""
854,"античный","a",14.5,96,85,501,""
855,"антология","s",2.7,61,85,133,""
856,"антоновка","s",1,38,69,44,""
857,"антоновский","a",0.8,36,82,45,""
858,"антракт","s",5.3,82,89,240,""
859,"антрацит","s",0.7,39,83,48,""
860,"антрекот","s",0.5,20,68,25,""
861,"антрепренер","s",0.8,28,71,41,""
862,"антреприза","s",1.9,42,81,87,""
863,"антресоли","s",2.3,69,89,130,""
864,"антропный","a",0.6,10,30,12,""
865,"антропогенный","a",3.9,34,72,130,""
866,"антрополог","s",1,43,83,63,""
867,"антропологический","a",2.4,57,79,103,""
868,"антропология","s",2.9,59,80,134,""
869,"антропоморфный","a",0.5,21,72,28,""
870,"антураж","s",2.2,79,91,178,""
871,"анус","s",0.6,18,67,25,""
872,"анфас","adv",0.9,46,84,68,""
873,"анфилада","s",1.5,67,89,103,""
874,"анчар","s",0.4,14,59,15,""
875,"анчоус","s",0.6,24,70,28,""
876,"аншлаг","s",2.7,51,84,162,""
877,"анютин","a",0.8,45,86,63,""
878,"аорта","s",2.2,47,53,61,""
879,"апартаменты","s",5.5,84,89,280,""
880,"апартеид","s",0.8,30,72,37,""
881,"апатит","s",1.5,35,70,65,""
882,"апатичный","a",0.5,37,85,45,""
883,"апатия","s",3,85,91,216,""
884,"апач","s",0.5,27,77,30,""
885,"апеллировать","v",3.4,76,91,259,""
886,"апелляционный","a",8.5,42,67,150,""
887,"апелляция","s",3.4,66,88,198,""
888,"апельсин","s",7.6,97,93,401,""
889,"апельсиновый","a",3.9,82,90,234,""
890,"апеннинский","a",0.4,23,74,25,""
891,"аперитив","s",1,43,83,59,""
892,"апертура","s",0.6,12,42,18,""
893,"апикальный","a",3.9,5,9,8,""
894,"аплодировать","v",7.8,88,91,383,""
895,"аплодисменты","s",19.6,92,90,661,""
896,"апломб","s",1.2,65,90,90,""
897,"апогей","s",2.4,74,90,187,""
898,"апокалипсис","s",3.1,75,87,170,""
899,"апокалипсический","a",0.5,31,82,38,""
900,"апокалиптический","a",1.6,62,88,112,""
901,"апокриф","s",1.3,42,73,56,""
902,"апокрифический","a",0.6,28,70,31,""
903,"аполитичность","s",0.5,31,82,37,""
904,"аполитичный","a",1.4,58,88,98,""
905,"апологет","s",1.8,60,88,127,""
906,"апологетика","s",0.5,27,80,34,""
907,"апологетический","a",0.4,26,81,33,""
908,"апология","s",1.1,52,87,77,""
909,"апоптоз","s",0.8,11,53,17,""
910,"апостол","s",21.8,91,59,618,""
911,"апостольский","a",2.3,53,67,136,""
912,"апофеоз","s",3.3,82,90,218,""
913,"аппарат","s",88.2,100,94,2961,""
914,"аппаратная","s",0.7,34,80,40,""
915,"аппаратно-программный","a",0.6,13,47,19,""
916,"аппаратный","a",5.4,69,87,302,""
917,"аппаратура","s",18.6,98,91,801,""
918,"аппаратурный","a",0.5,15,64,30,""
919,"аппаратчик","s",1.6,53,86,102,""
920,"аппендикс","s",1,47,84,66,""
921,"аппендицит","s",2.1,68,87,128,""
922,"аппетит","s",15.3,99,96,841,""
923,"аппетитно","adv",1.1,50,87,92,""
924,"аппетитный","a",2.4,78,91,182,""
925,"аппликация","s",1.1,50,85,79,""
926,"аппроксимация","s",0.7,14,67,41,""
927,"апрель","s",86.2,100,92,3469,""
928,"апрельский","a",4.8,90,92,315,""
929,"априори","adv",1.4,60,87,107,""
930,"априорно","adv",0.5,25,78,38,""
931,"априорный","a",2.6,38,71,90,""
932,"апробация","s",1.6,36,77,106,""
933,"апробированный","a",0.6,35,83,54,""
934,"апробировать","v",1.8,49,80,137,""
935,"апсида","s",0.4,8,46,9,""
936,"аптека","s",15.1,98,90,626,""
937,"аптекарский","a",1.7,50,58,68,""
